# wave A(l)/A(V) unc
1.8503507971763611e-01 2.6781403448473644e+00 7.1792763265277629e-02
1.8540576100349426e-01 2.6570891213055430e+00 6.9600495341059887e-02
1.8577715754508972e-01 2.6606229333521516e+00 7.0051879733896677e-02
1.8614931404590607e-01 2.6511658117674672e+00 6.7876191005626710e-02
1.8652221560478210e-01 2.6542040911171796e+00 6.9415886125321041e-02
1.8689586222171783e-01 2.6528459225852177e+00 6.8218615656492426e-02
1.8727025389671326e-01 2.6515098361637568e+00 6.8783382040279922e-02
1.8764539062976837e-01 2.6606288566625578e+00 6.8081266630173540e-02
1.8802128732204437e-01 2.6726758235042176e+00 6.8716102536447721e-02
1.8839794397354126e-01 2.6852364202210630e+00 7.1090087924841616e-02
1.8877534568309784e-01 2.6923743751414122e+00 7.0549087276796416e-02
1.8915350735187531e-01 2.7111831938689632e+00 7.3251717557091089e-02
1.8953241407871246e-01 2.6981275508422611e+00 7.1476739533409370e-02
1.8991209566593170e-01 2.6986983126384043e+00 7.2328762046891620e-02
1.9029253721237183e-01 2.7159535152551930e+00 7.1468943793574879e-02
1.9067372381687164e-01 2.7171345013365142e+00 7.2320168134038909e-02
1.9105568528175354e-01 2.7290894061341837e+00 7.0849947041642020e-02
1.9143842160701752e-01 2.7312316907482734e+00 7.1642014725600833e-02
1.9182191789150238e-01 2.7376587937789165e+00 7.1267794578764948e-02
1.9220617413520813e-01 2.7522040196934499e+00 7.3196367167631476e-02
1.9259120523929596e-01 2.7548399419159297e+00 7.1403428869713015e-02
1.9297701120376587e-01 2.7585699880146217e+00 7.2283094475240922e-02
1.9336359202861786e-01 2.7563823341117670e+00 7.1752935251769859e-02
1.9375093281269073e-01 2.7626063711558118e+00 7.2120689216457090e-02
1.9413906335830688e-01 2.7751287641743438e+00 7.3020550313607283e-02
1.9452796876430511e-01 2.7757426591902012e+00 7.1907584687237999e-02
1.9491764903068542e-01 2.7913297802457380e+00 7.2923472498865854e-02
1.9530811905860901e-01 2.8013231249406583e+00 7.1855703734190063e-02
1.9569936394691467e-01 2.8118221661075036e+00 7.4878217337915665e-02
