# wave A(l)/A(V) unc
3.24024e-01 1.88792e+00 9.43961e-02
3.25532e-01 1.87975e+00 9.39876e-02
3.27047e-01 1.87155e+00 9.35773e-02
3.28569e-01 1.86330e+00 9.31649e-02
3.30099e-01 1.85501e+00 9.27507e-02
3.31635e-01 1.84669e+00 9.23345e-02
3.33178e-01 1.83833e+00 9.19165e-02
3.34729e-01 1.83021e+00 9.15103e-02
3.36287e-01 1.82208e+00 9.11039e-02
3.37852e-01 1.81391e+00 9.06953e-02
3.39425e-01 1.80635e+00 9.03175e-02
3.41004e-01 1.80042e+00 9.00209e-02
3.42591e-01 1.79446e+00 8.97232e-02
3.44186e-01 1.78848e+00 8.94240e-02
3.45788e-01 1.78156e+00 8.90781e-02
3.47397e-01 1.77400e+00 8.87002e-02
3.49014e-01 1.76641e+00 8.83206e-02
3.50638e-01 1.75879e+00 8.79393e-02
3.52270e-01 1.75151e+00 8.75753e-02
3.53910e-01 1.74426e+00 8.72131e-02
3.55557e-01 1.73698e+00 8.68491e-02
3.57212e-01 1.72972e+00 8.64860e-02
3.58874e-01 1.72355e+00 8.61776e-02
3.60545e-01 1.71735e+00 8.58676e-02
3.62223e-01 1.71113e+00 8.55564e-02
3.63908e-01 1.70455e+00 8.52273e-02
3.65602e-01 1.69623e+00 8.48113e-02
3.67304e-01 1.68787e+00 8.43933e-02
3.69013e-01 1.67947e+00 8.39734e-02
3.70731e-01 1.67143e+00 8.35714e-02
3.72456e-01 1.66486e+00 8.32429e-02
3.74189e-01 1.65826e+00 8.29129e-02
3.75931e-01 1.65163e+00 8.25814e-02
3.77681e-01 1.64488e+00 8.22442e-02
3.79438e-01 1.63774e+00 8.18870e-02
3.81204e-01 1.63056e+00 8.15282e-02
3.82979e-01 1.62336e+00 8.11678e-02
3.84761e-01 1.61621e+00 8.08106e-02
3.86552e-01 1.61015e+00 8.05074e-02
3.88351e-01 1.60406e+00 8.02030e-02
3.90158e-01 1.59794e+00 7.98971e-02
3.91974e-01 1.59179e+00 7.95896e-02
3.93798e-01 1.58673e+00 7.93366e-02
3.95631e-01 1.58178e+00 7.90888e-02
3.97473e-01 1.57679e+00 7.88397e-02
3.99322e-01 1.57179e+00 7.85896e-02
4.01181e-01 1.56595e+00 7.82977e-02
4.03048e-01 1.55962e+00 7.79809e-02
4.04924e-01 1.55326e+00 7.76628e-02
4.06809e-01 1.54687e+00 7.73433e-02
4.08702e-01 1.54027e+00 7.70133e-02
4.10604e-01 1.53319e+00 7.66593e-02
4.12515e-01 1.52607e+00 7.63037e-02
4.14435e-01 1.51893e+00 7.59466e-02
4.16364e-01 1.51175e+00 7.55876e-02
4.18302e-01 1.50612e+00 7.53058e-02
4.20249e-01 1.50075e+00 7.50374e-02
4.22204e-01 1.49535e+00 7.47676e-02
4.24169e-01 1.48993e+00 7.44967e-02
4.26144e-01 1.48453e+00 7.42267e-02
4.28127e-01 1.47921e+00 7.39607e-02
4.30119e-01 1.47387e+00 7.36936e-02
4.32121e-01 1.46850e+00 7.34250e-02
4.34132e-01 1.46311e+00 7.31554e-02
4.36153e-01 1.45717e+00 7.28583e-02
4.38183e-01 1.45095e+00 7.25474e-02
4.40222e-01 1.44446e+00 7.22232e-02
4.42271e-01 1.43643e+00 7.18217e-02
4.44330e-01 1.42837e+00 7.14186e-02
4.46398e-01 1.42006e+00 7.10032e-02
4.48475e-01 1.41171e+00 7.05854e-02
4.50562e-01 1.40331e+00 7.01655e-02
4.52659e-01 1.39488e+00 6.97438e-02
4.54766e-01 1.38658e+00 6.93291e-02
4.56883e-01 1.37981e+00 6.89907e-02
4.59009e-01 1.37302e+00 6.86508e-02
